Team,Vs,Away Starter,Home Starter,FIELD,Game Result,Runs Scr,Runs Alw,Margin,Money Line,O/U Result,O/U Line,O/U Odds,Results on the ML,Results on the Over,Results on the Under
Baltimore,@ DET,Jake Arrieta (R),Armando Galarraga (R),AWAY,L,5,7,-2,169,O,10,-106,-1.00,0.94,-1.00
Baltimore,@ DET,Kevin Millwood (R),Andrew Oliver (L),AWAY,L,9,12,-3,173,O,9,-109,-1.00,0.92,-1.00
Baltimore,@ BOS,Brian Matusz (L),John Lackey (R),AWAY,W,6,1,5,192,U,9.5,-120,1.92,-1.00,0.83
Baltimore,@ BOS,Jeremy Guthrie (R),Jon Lester (L),AWAY,L,3,9,-6,254,O,8.5,-113,-1.00,0.88,-1.00
Baltimore,@ BOS,Bradley Bergesen (R),Tim Wakefield (R),AWAY,L,2,3,-1,199,U,10,-119,-1.00,-1.00,0.84
Baltimore,OAK,Trevor Cahill (R),Jake Arrieta (R),HOME,L,1,8,-7,129,P,9,9 -,-1.00,0.00,0.00
Baltimore,OAK,Ben Sheets (R),Kevin Millwood (R),HOME,W,9,6,3,106,O,9,-103,1.06,0.97,-1.00
Baltimore,OAK,Vin Mazzaro (R),Brian Matusz (L),HOME,L,2,4,-2,-107,U,8.5,105,-1.00,-1.00,1.05
Baltimore,WAS,Luis Atilano (R),Jeremy Guthrie (R),HOME,W,4,3,1,-113,U,9.5,103,0.88,-1.00,1.03
Baltimore,WAS,Livan Hernandez (R),Bradley Bergesen (R),HOME,W,6,5,1,109,O,9.5,-116,1.09,0.86,-1.00
Baltimore,WAS,J.D. Martin (R),Jake Arrieta (R),HOME,W,7,6,1,109,O,9,-118,1.09,0.85,-1.00
Baltimore,FLA,Nate Robertson (L),Kevin Millwood (R),HOME,W,11,5,6,-101,O,9.5,-109,0.99,0.92,-1.00
Baltimore,FLA,Ricky Nolasco (R),Brian Matusz (L),HOME,L,5,7,-2,107,O,9,-115,-1.00,0.87,-1.00
Baltimore,FLA,Anibal Sanchez (R),Jeremy Guthrie (R),HOME,L,4,10,-6,107,O,8.5,-121,-1.00,0.83,-1.00
Baltimore,@ SD,Jake Arrieta (R),Jon Garland (R),AWAY,L,4,9,-5,149,O,7,-106,-1.00,0.94,-1.00
Baltimore,@ SD,Kevin Millwood (R),Clayton Richard (L),AWAY,W,5,4,1,180,O,6.5,-107,1.80,0.93,-1.00
Baltimore,@ SD,Brian Matusz (L),Wade LeBlanc (L),AWAY,L,2,3,-1,149,U,7,-125,-1.00,-1.00,0.80
Baltimore,@ SF,Jeremy Guthrie (R),Tim Lincecum (R),AWAY,L,3,6,-3,237,O,6.5,-120,-1.00,0.83,-1.00
Baltimore,@ SF,Jake Arrieta (R),Joe Martinez (R),AWAY,W,4,1,3,140,U,8.5,-108,1.40,-1.00,0.93
Baltimore,@ SF,Chris Tillman (R),Jonathan Sanchez (L),AWAY,L,2,10,-8,180,O,7.5,-108,-1.00,0.93,-1.00
Baltimore,NYM,Michael Pelfrey (R),Kevin Millwood (R),HOME,L,4,11,-7,124,O,8.5,-118,-1.00,0.85,-1.00
Baltimore,NYM,Hisanori Takahashi (L),Brian Matusz (L),HOME,L,1,3,-2,-114,U,9,-111,-1.00,-1.00,0.90
Baltimore,NYM,R.A. Dickey (R),Jeremy Guthrie (R),HOME,L,1,5,-4,-113,U,9,107,-1.00,-1.00,1.07
Baltimore,NYY,A.J. Burnett (R),Jake Arrieta (R),HOME,W,4,3,1,191,U,9.5,-115,1.91,-1.00,0.87
Baltimore,NYY,CC Sabathia (L),Chris Tillman (R),HOME,L,2,4,-2,215,U,9,-102,-1.00,-1.00,0.98
Baltimore,NYY,Phil Hughes (R),Kevin Millwood (R),HOME,L,7,12,-5,196,O,8.5,-109,-1.00,0.92,-1.00
Baltimore,BOS,John Lackey (R),Brian Matusz (L),HOME,W,4,3,1,149,U,9.5,-110,1.49,-1.00,0.91
Baltimore,BOS,Jon Lester (L),Jeremy Guthrie (R),HOME,L,2,8,-6,181,O,8.5,100,-1.00,1.00,-1.00
Baltimore,BOS,Clay Buchholz (R),Chris Tillman (R),HOME,L,0,11,-11,160,O,9.5,103,-1.00,1.03,-1.00
Baltimore,@ NYY,Kevin Millwood (R),CC Sabathia (L),AWAY,L,3,6,-3,264,P,9,9 -,-1.00,0.00,0.00
Baltimore,@ NYY,Bradley Bergesen (R),Phil Hughes (R),AWAY,L,1,9,-8,295,O,9.5,-104,-1.00,0.96,-1.00
Baltimore,@ NYY,Brian Matusz (L),Javier Vazquez (R),AWAY,L,1,3,-2,208,U,10,-116,-1.00,-1.00,0.86
Baltimore,@ TOR,Jeremy Guthrie (R),Ricky Romero (L),AWAY,L,1,6,-5,159,U,8,102,-1.00,-1.00,1.02
Baltimore,@ TOR,Chris Tillman (R),Brett Cecil (L),AWAY,L,2,5,-3,161,U,9,-122,-1.00,-1.00,0.82
Baltimore,@ TOR,Kevin Millwood (R),Shaun Marcum (R),AWAY,L,0,5,-5,166,U,8,101,-1.00,-1.00,1.01
Baltimore,OAK,Gio Gonzalez (L),Bradley Bergesen (R),HOME,L,5,7,-2,128,O,9,-103,-1.00,0.97,-1.00
Baltimore,OAK,Trevor Cahill (R),Brian Matusz (L),HOME,L,1,6,-5,-108,U,9,-114,-1.00,-1.00,0.88
Baltimore,OAK,Dallas Braden (L),Jeremy Guthrie (R),HOME,W,5,1,4,106,U,8,-107,1.06,-1.00,0.93
Baltimore,@ WAS,Kevin Millwood (R),John Lannan (L),AWAY,L,3,4,-1,113,U,8.5,-108,-1.00,-1.00,0.93
Baltimore,@ WAS,Bradley Bergesen (R),Craig Stammen (R),AWAY,L,6,7,-1,134,O,9,100,-1.00,1.00,-1.00
Baltimore,@ WAS,David Hernandez (R),Scott Olsen (L),AWAY,W,5,3,2,144,U,9,-116,1.44,-1.00,0.86
Baltimore,@ TEX,Brian Matusz (L),Scott Feldman (R),AWAY,L,7,13,-6,136,O,9.5,-101,-1.00,0.99,-1.00
Baltimore,@ TEX,Jeremy Guthrie (R),Rich Harden (R),AWAY,L,3,4,-1,153,U,9.5,102,-1.00,-1.00,1.02
Baltimore,KC,Zack Greinke (R),Kevin Millwood (R),HOME,W,4,3,1,132,U,7.5,-125,1.32,-1.00,0.80
Baltimore,KC,Kyle Davies (R),Bradley Bergesen (R),HOME,L,3,4,-1,-130,U,9,-109,-1.00,-1.00,0.92
Baltimore,CLE,Jake Westbrook (R),Mark Hendrickson (L),HOME,L,1,5,-4,106,U,9.5,-117,-1.00,-1.00,0.85
Baltimore,CLE,Mitch Talbot (R),Brian Matusz (L),HOME,L,2,8,-6,-138,O,8.5,-123,-1.00,0.81,-1.00
Baltimore,CLE,Justin Masterson (R),Jeremy Guthrie (R),HOME,W,8,1,7,-117,O,8.5,-111,0.85,0.90,-1.00
Baltimore,SEA,Felix Hernandez (R),Kevin Millwood (R),HOME,W,6,5,1,122,O,7.5,114,1.22,1.14,-1.00
Baltimore,SEA,Ryan Rowland-Smith (L),Bradley Bergesen (R),HOME,W,5,2,3,-118,U,9,-110,0.85,-1.00,0.91
Baltimore,SEA,Cliff Lee (L),David Hernandez (R),HOME,L,1,5,-4,145,U,8,-107,-1.00,-1.00,0.93
Baltimore,@ MIN,Brian Matusz (L),Nick Blackburn (R),AWAY,L,0,6,-6,138,U,8.5,111,-1.00,-1.00,1.11
Baltimore,@ MIN,Kevin Millwood (R),Scott Baker (R),AWAY,L,1,6,-5,164,U,8.5,-103,-1.00,-1.00,0.97
Baltimore,@ MIN,Jeremy Guthrie (R),Francisco Liriano (L),AWAY,W,7,3,4,208,O,8,-105,2.08,0.95,-1.00
Baltimore,@ MIN,Bradley Bergesen (R),Carl Pavano (R),AWAY,W,2,0,2,189,U,9.5,-116,1.89,-1.00,0.86
Baltimore,@ NYY,David Hernandez (R),Andy Pettitte (L),AWAY,L,5,7,-2,255,O,9.5,-109,-1.00,0.92,-1.00
Baltimore,@ NYY,Brian Matusz (L),A.J. Burnett (R),AWAY,L,1,4,-3,207,U,9,-108,-1.00,-1.00,0.93
Baltimore,@ NYY,Jeremy Guthrie (R),CC Sabathia (L),AWAY,L,1,4,-3,290,U,9,105,-1.00,-1.00,1.05
Baltimore,BOS,Josh Beckett (R),Kevin Millwood (R),HOME,W,3,2,1,144,U,9,102,1.44,-1.00,1.02
Baltimore,BOS,Daisuke Matsuzaka (R),Bradley Bergesen (R),HOME,W,12,9,3,145,O,10,106,1.45,1.06,-1.00
Baltimore,BOS,John Lackey (R),David Hernandez (R),HOME,W,5,4,1,143,P,9,9 -,1.43,0.00,0.00
Baltimore,NYY,A.J. Burnett (R),Brian Matusz (L),HOME,L,0,4,-4,141,U,8.5,-113,-1.00,-1.00,0.88
Baltimore,NYY,CC Sabathia (L),Jeremy Guthrie (R),HOME,L,3,8,-5,215,O,8.5,-102,-1.00,0.98,-1.00
Baltimore,NYY,Phil Hughes (R),Kevin Millwood (R),HOME,W,5,4,1,165,P,9,9 -,1.65,0.00,0.00
Baltimore,@ BOS,David Hernandez (R),Tim Wakefield (R),AWAY,W,7,6,1,146,O,10.5,-109,1.46,0.92,-1.00
Baltimore,@ BOS,Brian Matusz (L),John Lackey (R),AWAY,L,6,7,-1,163,O,8.5,101,-1.00,1.01,-1.00
Baltimore,@ BOS,Jeremy Guthrie (R),Jon Lester (L),AWAY,L,3,4,-1,196,U,8.5,-101,-1.00,-1.00,0.99
Baltimore,@ SEA,Kevin Millwood (R),Felix Hernandez (R),AWAY,L,1,4,-3,193,U,7,100,-1.00,-1.00,1.00
Baltimore,@ SEA,David Hernandez (R),Jason Vargas (L),AWAY,L,1,3,-2,133,U,8.5,-107,-1.00,-1.00,0.93
Baltimore,@ SEA,Bradley Bergesen (R),Doug Fister (R),AWAY,L,2,8,-6,144,O,8,-115,-1.00,0.87,-1.00
Baltimore,@ OAK,Brian Matusz (L),Brett Anderson (L),AWAY,W,8,3,5,161,O,7,-117,1.61,0.85,-1.00
Baltimore,@ OAK,Jeremy Guthrie (R),Justin Duchscherer (R),AWAY,L,3,4,-1,146,U,7.5,-107,-1.00,-1.00,0.93
Baltimore,@ OAK,Kevin Millwood (R),Dallas Braden (L),AWAY,L,2,4,-2,140,U,7.5,101,-1.00,-1.00,1.01
Baltimore,@ OAK,David Hernandez (R),Ben Sheets (R),AWAY,L,2,6,-4,136,U,8.5,-107,-1.00,-1.00,0.93
Baltimore,TB,David Price (L),Bradley Bergesen (R),HOME,L,1,9,-8,143,O,9,108,-1.00,1.08,-1.00
Baltimore,TB,Jeff Niemann (R),Brian Matusz (L),HOME,L,6,8,-2,110,O,9,111,-1.00,1.11,-1.00
Baltimore,TB,Matt Garza (R),Jeremy Guthrie (R),HOME,L,1,5,-4,134,U,9,-113,-1.00,-1.00,0.88
Baltimore,TOR,Shaun Marcum (R),Kevin Millwood (R),HOME,L,2,5,-3,-113,U,8.5,-110,-1.00,-1.00,0.91
Baltimore,TOR,Dana Eveland (L),David Hernandez (R),HOME,L,0,3,-3,-140,U,9.5,-113,-1.00,-1.00,0.88
Baltimore,TOR,Brandon Morrow (R),Bradley Bergesen (R),HOME,L,6,7,-1,-156,O,9,104,-1.00,1.04,-1.00
Baltimore,@ TB,Brian Matusz (L),Jeff Niemann (R),AWAY,W,5,4,1,149,U,9.5,-122,1.49,-1.00,0.82
Baltimore,@ TB,Jeremy Guthrie (R),Matt Garza (R),AWAY,L,3,4,-1,199,U,9,102,-1.00,-1.00,1.02
Baltimore,@ TB,Kevin Millwood (R),James Shields (R),AWAY,L,3,4,-1,192,U,9,101,-1.00,-1.00,1.01
Boston,NYY,Dustin Moseley (R),John Lackey (R),HOME,W,8,4,4,-119,O,9.5,111,0.84,1.11,-1.00
Boston,NYY,A.J. Burnett (R),Daisuke Matsuzaka (R),HOME,W,7,6,1,-108,O,9.5,-101,0.93,0.99,-1.00
Boston,NYY,Andy Pettitte (L),Tim Wakefield (R),HOME,L,5,6,-1,126,O,9.5,111,-1.00,1.11,-1.00
Boston,@ CHW,Jon Lester (L),John Danks (L),AWAY,L,2,8,-6,-142,O,7.5,106,-1.00,1.06,-1.00
Boston,@ CHW,Josh Beckett (R),Freddy Garcia (R),AWAY,L,2,5,-3,-133,U,9,-126,-1.00,-1.00,0.79
Boston,@ CHW,John Lackey (R),Edwin Jackson (R),AWAY,L,4,5,-1,-102,O,8.5,-102,-1.00,0.98,-1.00
Boston,@ CHW,Clay Buchholz (R),Mark Buehrle (L),AWAY,W,6,1,5,-121,U,8.5,-123,0.83,-1.00,0.81
Boston,@ NYY,Daisuke Matsuzaka (R),Philip Hughes (R),AWAY,L,3,4,-1,172,U,9.5,-108,-1.00,-1.00,0.93
Boston,@ NYY,Jon Lester (L),Ivan Nova (R),AWAY,W,7,3,4,-116,O,9,-105,0.86,0.95,-1.00
Boston,@ NYY,Josh Beckett (R),Andy Pettitte (L),AWAY,W,10,8,2,164,O,9.5,-105,1.64,0.95,-1.00
Boston,BAL,Kevin Millwood (R),John Lackey (R),HOME,W,6,1,5,-163,U,9.5,-111,0.61,-1.00,0.90
Boston,BAL,Bradley Bergesen (R),Clay Buchholz (R),HOME,L,1,9,-8,-208,O,8.5,100,-1.00,1.00,-1.00
Boston,BAL,Brian Matusz (L),Daisuke Matsuzaka (R),HOME,L,2,4,-2,-141,U,9,-107,-1.00,-1.00,0.93
Boston,TOR,Shaun Marcum (R),Jon Lester (L),HOME,W,6,0,6,-172,U,8,-108,0.58,-1.00,0.93
Boston,TOR,Ricky Romero (L),Josh Beckett (R),HOME,L,3,4,-1,-139,U,9,-108,-1.00,-1.00,0.93
Boston,TOR,Brett Cecil (L),John Lackey (R),HOME,L,9,11,-2,-140,O,9.5,113,-1.00,1.13,-1.00
Boston,@ SEA,Clay Buchholz (R),David Pauley (R),AWAY,W,5,1,4,-161,U,7,-107,0.62,-1.00,0.93
Boston,@ SEA,Daisuke Matsuzaka (R),Lucas French (L),AWAY,W,9,6,3,-131,O,7.5,-104,0.76,0.96,-1.00
Boston,@ SEA,Jon Lester (L),Doug Fister (R),AWAY,W,5,1,4,-166,U,6.5,102,0.60,-1.00,1.02
Boston,@ OAK,Josh Beckett (R),Dallas Braden (L),AWAY,W,5,3,2,115,O,7.5,-101,1.15,0.99,-1.00
Boston,@ OAK,John Lackey (R),Brett Anderson (L),AWAY,L,3,4,-1,134,U,7.5,-126,-1.00,-1.00,0.79
Boston,@ OAK,Clay Buchholz (R),Trevor Cahill (R),AWAY,L,0,5,-5,-103,U,6.5,106,-1.00,-1.00,1.06
Boston,TB,Matt Garza (R),Tim Wakefield (R),HOME,W,11,5,6,-124,O,9.5,-105,0.81,0.95,-1.00
Boston,TB,David Price (L),Daisuke Matsuzaka (R),HOME,L,5,14,-9,114,O,8.5,-123,-1.00,0.81,-1.00
Boston,TB,Jeff Niemann (R),Jon Lester (L),HOME,W,12,5,7,-155,O,8.5,-115,0.65,0.87,-1.00
Boston,CHW,Mark Buehrle (L),Josh Beckett (R),HOME,L,5,7,-2,-139,O,9,-104,-1.00,0.96,-1.00
Boston,CHW,Gavin Floyd (R),John Lackey (R),HOME,L,1,3,-2,-123,U,9,-103,-1.00,-1.00,0.97
Boston,CHW,John Danks (L),Clay Buchholz (R),HOME,L,1,3,-2,-158,U,8,-112,-1.00,-1.00,0.89
Boston,@ BAL,Daisuke Matsuzaka (R),Bradley Bergesen (R),AWAY,W,6,4,2,-134,O,9,-115,0.75,0.87,-1.00
Boston,@ BAL,Jon Lester (L),Jacob Arrieta (R),AWAY,W,9,6,3,-210,O,8.5,100,0.48,1.00,-1.00
Boston,@ BAL,Josh Beckett (R),Brian Matusz (L),AWAY,L,2,5,-3,-137,U,8.5,-108,-1.00,-1.00,0.93
Boston,@ TB,John Lackey (R),James Shields (R),AWAY,L,3,5,-2,131,U,8.5,-107,-1.00,-1.00,0.93
Boston,@ TB,Clay Buchholz (R),Matt Garza (R),AWAY,L,2,3,-1,138,U,7.5,-109,-1.00,-1.00,0.92
Boston,@ TB,Jon Lester (L),David Price (L),AWAY,W,3,1,2,131,U,7,108,1.31,-1.00,1.08
Boston,SEA,Felix Hernandez (R),Tim Wakefield (R),HOME,L,2,4,-2,100,U,8,105,-1.00,-1.00,1.05
Boston,SEA,David Pauley (R),Josh Beckett (R),HOME,W,5,3,2,-212,U,9,-114,0.47,-1.00,0.88
Boston,SEA,Doug Fister (R),John Lackey (R),HOME,W,6,3,3,-185,P,9,9 -,0.54,0.00,0.00
Boston,TOR,Shaun Marcum (R),Clay Buchholz (R),HOME,W,5,0,5,-141,U,8,-120,0.71,-1.00,0.83
