field,game_result,side_line,line,odds
0,L,131,8,104
0,W,140,9,-110
0,L,126,8.5,100
0,L,-101,10,-101
0,W,148,6.5,-106
0,L,161,8,106
0,L,146,7.5,101
0,L,185,8,104
1,W,-165,7.5,-115
1,L,-172,6.5,-115
1,W,-140,7,103
1,L,-126,7.5,120
1,L,101,8,102
1,W,101,6.5,103
0,L,-154,7.5,-110
0,W,-110,7.5,104
0,W,-121,8,-115
0,L,125,8.5,-118
0,W,102,7,109
0,L,-157,7.5,-116
0,W,110,7.5,-102
1,L,-126,8.5,-112
1,L,191,7.5,-123
1,W,114,7.5,-127
1,W,-141,7,100
1,L,-114,7.5,-105
1,W,146,7.5,105
0,L,194,6.5,-125
0,W,124,7,109
0,L,115,8.5,-111
0,L,150,8.5,100
0,W,130,7.5,-106
0,L,130,6.5,109
1,L,-172,8.5,-106
1,W,-141,8,-110
1,L,-135,8,101
1,W,-147,8.5,-112
1,L,-135,6.5,-130
1,W,136,7,-110
0,L,167,6.5,108
0,L,120,8.5,-111
0,W,106,6.5,-122
0,L,163,8,-115
0,L,129,8.5,-105
0,L,-122,9.5,-106
0,L,115,9.5,105
0,L,143,7,-119
0,L,106,7.5,-110
0,L,157,7,-121
1,W,-136,7,-115
1,L,111,7.5,-113
1,L,107,7.5,-131
1,L,-122,8.5,-116
1,W,-142,8.5,-119
1,L,-155,8.5,110
0,W,108,8.5,-127
0,L,174,6.5,-112
0,W,-111,8.5,-120
0,L,-127,8,-109
0,W,-113,9.5,107
0,L,-113,10,-130
0,L,-103,8.5,100
1,W,-105,8,-105
1,L,-127,7.5,-108
1,W,-117,8,-103
1,L,-126,8,-118
1,W,-111,8.5,100
1,W,133,7.5,116
0,L,172,8.5,101
0,L,176,8.5,110
0,W,187,9.5,-105
0,W,104,9,105
0,W,-104,9,-112
0,W,-128,8,-116
0,W,-132,8.5,-118
0,W,107,9,-111
0,W,106,9,107
1,W,-118,8,-123
1,L,-150,6.5,-108
1,W,-145,7,107
1,W,-105,8,-120
1,W,-120,9.5,-105
1,W,-102,8.5,100
0,W,-102,6.5,116
0,L,107,6.5,-123
0,W,130,10,-103
0,L,115,10,-106
0,L,109,7.5,-105
1,W,116,7.5,-118
1,W,113,8.5,-115
1,W,118,9.5,-108
1,W,129,7,100
1,W,150,7.5,-111
1,L,149,9,-108
0,W,101,9.5,105
0,L,126,9,-104
0,L,-101,7.5,-104
0,W,143,8.5,-110
0,L,154,8.5,100
0,L,103,9.5,102
0,L,122,7,-113
1,L,-166,8,-108
1,W,-136,8,-106
1,L,-170,8.5,104
1,L,173,7.5,118
1,W,-191,8,100
1,W,-119,7.5,102
0,L,109,8.5,-105
0,L,140,9.5,-103
0,L,-130,9,110
0,L,203,7.5,-106
0,W,128,10.5,-113
1,W,-101,9,-110
1,W,-108,9,100
1,W,-135,7,-103
1,W,109,7,-105
1,W,119,8.5,-118
1,W,116,8.5,-102
1,L,-106,8.5,-120
1,W,-104,8,-109
1,W,127,8,-106
0,L,255,7.5,105
0,W,105,7.5,-104
0,L,210,8.5,104
0,W,179,9,-102
0,L,164,9.5,-109
0,L,136,10.5,-104
1,L,-252,7.5,107
1,L,-119,8.5,110
1,W,-129,9,111
1,L,-111,9,102
1,L,122,8.5,102
1,W,101,7,-128
1,L,-159,7,102
0,W,-115,5.5,-113
0,L,-107,7.5,111
0,L,-120,6.5,101
1,L,-163,5.5,-112
0,W,-127,7.5,105
1,W,-187,7.5,-106
1,W,-201,7,-109
0,L,128,7.5,115
0,W,195,8,-105
0,W,147,8.5,100
0,W,101,8.5,-111
0,L,-142,7,107
0,W,-205,7,100
1,L,-254,8,-110
1,L,-149,9,110
1,W,-145,8.5,101
1,W,-143,7.5,110
1,W,-192,8,-110
1,W,-198,9.5,104
1,W,-146,9.5,-121
1,W,-245,8,-107
0,W,-238,8,-114
0,W,-153,8,-102
0,W,-135,9.5,-105
0,W,-154,7.5,-117
0,L,-106,8.5,102
0,W,-229,7.5,109
1,W,-247,9,100
1,W,-165,10,-103
1,W,-187,8,109
1,L,-167,10,-105
1,L,-150,9.5,-105
1,W,-278,7.5,-124
1,W,-224,8.5,109
0,W,108,9,-108
0,W,102,6.5,106
0,W,-106,8.5,105
0,L,-143,6.5,-118
0,W,-106,6.5,102
0,W,115,7.5,100
0,W,121,6.5,-126
1,L,-166,8.5,105
1,L,-340,7,108
1,L,-270,7.5,104
1,L,-175,8.5,-118
1,W,-225,9,104
1,L,100,8,-110
1,W,-330,8,-103
1,L,-179,8.5,-119
1,W,-108,9,-110
1,W,-160,8.5,-107
0,W,119,8.5,-112
0,W,-204,7.5,-123
0,L,-121,7.5,-127
1,W,108,8.5,104
1,W,-135,7.5,107
1,L,-107,8.5,-130
1,W,-207,6.5,-125
1,L,-132,7,109
1,W,-122,8.5,-111
0,W,-119,7.5,-110
0,W,124,8.5,111
0,W,-185,7.5,-116
0,W,-171,9,-105
0,L,-127,9,107
0,L,-164,8,-110
1,W,-147,9.5,-101
1,W,-265,7.5,-106
1,W,-229,8.5,-108
1,W,-133,8.5,-105
1,W,-136,9,102
1,W,135,8.5,-109
1,W,-205,7.5,-114
0,W,149,7,-107
0,L,134,8.5,-101
0,L,106,9,102
0,L,-172,7.5,103
0,W,-114,9,-107
0,L,120,10,103
0,L,124,8.5,109
1,W,-174,9,-113
1,W,-200,7.5,-111
1,W,-113,9.5,116
1,W,103,9.5,-134
1,L,104,9,105
1,L,-132,8.5,-101
1,W,-182,7.5,-118
0,L,-133,8.5,101
0,W,-108,8,110
0,L,-141,8.5,-119
0,L,-179,8.5,-111
0,L,-151,7.5,-116
0,W,113,9.5,-105
0,L,117,9.5,105
0,W,-105,9.5,108
0,L,-134,9,-105
0,W,-204,8.5,-117
1,W,-148,9.5,-103
1,W,-178,10,105
1,W,-186,10,106
1,L,-201,8,103
1,L,-160,9.5,112
1,W,-132,10.5,100
0,W,207,10,-102
0,W,182,10,100
0,L,105,7.5,101
0,W,-107,9.5,-118
0,L,144,10,102
0,L,132,10.5,108
1,L,-159,6.5,100
1,W,-137,9.5,105
1,L,-173,9,-118
1,L,-152,9.5,-108
1,W,-132,9,112
1,W,-205,7,101
0,L,133,9,107
0,L,113,7.5,-105
0,L,146,7.5,-106
0,L,124,8.5,-101
0,W,-109,6.5,-110
0,W,104,9.5,-119
0,L,-123,7.5,-118
0,L,-120,8.5,-115
0,L,-125,9.5,-108
1,L,-196,8,-103
1,L,-117,10.5,-108
1,W,-140,9.5,-111
1,L,-131,9.5,-118
1,L,-310,8,-107
1,W,-185,10,115
0,W,-148,10,-121
0,W,-110,9.5,-115
0,W,119,9.5,-113
0,L,-181,8.5,-101
0,W,-105,11,100
1,W,-199,9,-102
1,L,-149,10,-110
1,W,-124,10,-123
1,W,-218,8,100
1,W,111,10,-115
1,W,-106,8.5,102
1,L,106,9.5,104
1,W,122,9,110
1,W,-217,7.5,-106
1,L,-136,10.5,-113
0,W,137,7,104
0,L,-137,9.5,-116
0,L,-145,6.5,100
0,L,-102,11,-106
0,W,106,11,102
0,L,-173,10.5,-112
0,W,142,9.5,114
0,W,-147,7.5,-105
0,L,147,8.5,112
1,L,-185,9.5,-110
1,L,-104,10.5,-117
1,W,-290,8.5,-105
1,L,-244,9.5,-107
1,W,-174,10,110
1,W,-257,9,-106
0,W,-208,7.5,-119
0,W,-148,9.5,102
0,W,-162,8.5,100
0,L,-142,10.5,-115
0,W,-185,9,-116
0,W,-195,7.5,-118
0,W,141,7.5,-123
0,L,116,8.5,-105
0,L,106,7.5,-110
1,L,-107,8.5,-111
1,W,134,7,107
1,L,192,7,100
1,W,125,8.5,-115
1,L,143,8.5,-116
1,W,164,7.5,-108
1,W,-117,8.5,116
1,W,105,8,-116
1,W,-110,7.5,100
1,L,-131,8,111
0,L,185,9.5,104
0,L,137,9.5,-121
0,L,228,8,-107
0,W,164,8,-106
0,W,185,8,-103
0,L,185,8.5,-104
1,L,-140,8.5,111
1,L,105,8.5,-111
1,L,-120,8.5,-110
1,L,-107,8,103
1,L,-136,8.5,-107
1,W,-139,8,104
0,W,-105,9.5,-133
0,W,-101,8.5,107
0,L,105,8.5,-111
0,L,139,8.5,-104
0,L,144,8.5,-116
0,W,146,8.5,-116
1,W,160,7.5,-104
1,W,-102,9,104
1,L,138,8.5,-102
1,W,160,7.5,-102
1,L,101,8.5,-120
1,L,-130,8.5,-109
1,L,-169,8.5,-115
0,L,210,9,104
0,W,-106,8,-110
0,L,304,8,-103
0,W,196,8.5,-123
0,L,205,7.5,-102
0,L,166,8.5,-116
1,W,-176,7.5,-109
1,L,-107,9,-111
1,W,-105,9,103
1,L,102,8,-105
1,L,-106,9.5,-111
1,L,-180,7,-115
0,L,169,7.5,-130
0,L,158,7.5,-123
0,W,207,7.5,105
0,L,127,9.5,-109
0,L,123,9.5,-110
0,W,116,9.5,103
1,L,161,9,-105
1,W,120,9,107
1,W,154,8,-110
1,W,128,8.5,-104
1,L,138,7.5,106
1,W,-130,6.5,-104
0,L,137,9.5,106
0,L,121,9.5,-118
0,L,133,9.5,103
0,W,162,8.5,-110
0,W,-120,7,-101
0,L,164,9,-123
0,L,129,9,-105
0,L,226,7.5,-111
0,W,-114,7,-131
1,L,-116,8.5,-110
1,L,101,8.5,-101
1,W,-148,6.5,-113
1,L,146,7.5,-125
1,W,-101,8.5,-101
1,W,103,8,-108
1,L,-115,8.5,-127
1,W,-186,6.5,-112
1,L,105,8.5,-120
1,W,120,8,-109
0,L,151,8.5,-104
0,L,110,6.5,-105
0,L,106,9.5,103
0,L,-116,9.5,-116
0,L,-116,9,-118
1,L,-239,7.5,-118
1,W,-109,9,113
1,W,-135,9,-108
1,L,107,9.5,-118
1,L,112,8.5,-114
1,L,-175,7.5,-120
0,L,173,9,-103
0,L,201,8,-111
0,L,162,9.5,111
0,W,-187,8,-105
0,L,111,9,110
0,L,115,9.5,-108
1,W,-148,8.5,-102
1,W,-137,9,112
1,W,-200,8.5,100
1,L,126,9,-110
1,W,106,8.5,104
0,L,-126,9,111
0,L,104,8.5,-113
0,L,111,8.5,-117
0,W,147,7.5,-115
0,L,147,7,100
0,L,174,7,-107
0,W,131,6.5,-111
0,L,149,8,112
0,W,227,7,-102
0,L,116,8.5,111
1,W,-120,8.5,-108
1,W,-142,9,100
1,L,-153,9,-116
1,L,-107,9.5,105
1,W,-134,9,-104
0,L,237,7.5,-103
0,L,147,8.5,105
0,L,120,9.5,100
0,L,139,10.5,-103
0,L,227,8.5,104
0,W,169,10,102
0,W,156,8,-108
0,L,128,8,-106
0,W,160,8.5,104
1,W,105,9,-115
1,W,159,8.5,-106
1,L,-104,9,110
1,W,119,8.5,-111
1,L,149,8,-113
0,L,198,8.5,104
0,L,133,9.5,-109
0,W,191,8.5,-103
0,W,192,8,107
0,W,150,8,-107
0,L,140,8,-110
1,W,140,9.5,-109
1,L,160,9,-116
1,W,119,10,-112
1,L,161,8.5,101
1,W,-101,9,110
1,L,137,9,105
1,W,133,9.5,-106
1,L,-117,9.5,103
1,W,142,10,111
1,W,134,9.5,-105
0,W,227,9.5,-107
0,L,163,10,110
0,L,239,9,-106
0,W,235,7.5,107
0,W,112,8.5,110
0,L,122,9,111
1,W,134,10.5,-115
1,L,173,9,-116
1,L,183,7.5,-118
1,W,-136,8,102
1,W,-105,8.5,-123
1,L,115,8,103
1,W,134,7.5,106
1,W,125,9,-126
1,W,-104,8.5,-102
1,L,114,8.5,-123
0,W,191,8,-104
0,W,129,8.5,106
0,L,136,7,103
0,L,122,7,-102
1,L,-141,8.5,-105
1,L,146,8.5,-114
1,L,-105,8,-102
1,L,-107,8.5,-118
1,L,-101,8.5,-110
1,L,-108,8,-110
1,W,-170,9.5,-109
1,L,-222,9,111
1,W,-219,9,109
0,L,-121,8.5,105
0,L,-140,8.5,-102
0,L,156,8.5,100
0,W,123,7.5,105
0,W,131,9,-104
0,W,116,9,-103
0,W,149,8,-112
0,W,-121,9.5,100
0,W,-122,8.5,-108
0,W,-124,9,-105
1,L,-123,9.5,106
1,L,126,8.5,-104
1,W,129,10,-110
1,W,-186,9,-102
1,L,-172,9,-128
1,W,-166,8.5,106
0,L,-106,7.5,-126
0,W,-124,9.5,-103
0,L,-117,9.5,100
0,W,146,8,-117
0,L,137,7,-127
0,L,115,7.5,-101
1,L,-135,10,-111
1,L,-157,9,-109
1,W,-146,9.5,-102
1,L,-119,7.5,110
1,W,-169,9.5,-104
1,L,105,9,-103
0,L,-128,9,103
0,L,-121,8.5,-110
0,W,-169,9,-106
0,L,-161,9,-121
0,W,142,8.5,-106
0,W,111,9,-103
0,L,106,9,-110
0,W,-103,8.5,-104
1,W,-165,8,111
1,L,-159,7.5,-118
1,W,106,9,-125
1,W,-168,9,-121
1,W,-168,8.5,-109
1,W,-243,9,-102
1,W,-118,6.5,-121
0,L,142,8,116
0,L,117,8,-102
0,W,136,7,104
0,L,127,6.5,-111
0,W,-120,7.5,-116
0,W,-107,8.5,111
0,L,-101,9.5,-103
0,L,137,8.5,107
0,L,124,8,100
0,W,108,8.5,-110
1,W,-165,9.5,-105
1,W,-177,8.5,-103
1,W,-150,9,113
1,W,-130,8.5,-121
1,W,-125,9.5,-105
1,W,101,7.5,105
1,W,-151,9,-115
0,W,150,10,-115
0,L,151,9.5,-128
0,W,183,9.5,-117
0,L,116,7,106
0,W,-123,8.5,-102
0,L,-120,9.5,-115
1,L,-138,7.5,-117
1,W,-131,9,-128
1,W,-157,8.5,-118
1,W,-103,9,-126
1,W,106,8,-101
1,W,106,8,-103
0,W,-114,9.5,-118
0,W,-119,8.5,-114
0,W,164,7.5,-120
0,W,-120,8.5,107
0,W,-135,7.5,-107
0,W,-117,8.5,101
0,L,129,8.5,-117
0,W,139,8.5,107
0,W,102,10.5,-109
1,W,-126,9,104
1,W,-117,9.5,102
1,W,-156,9,-105
1,L,-154,9,-105
1,L,-179,8.5,-104
1,W,105,9,-116
1,L,-124,9,-113
1,L,-120,8.5,-107
0,W,165,8,107
0,L,134,8,-111
0,W,206,8.5,104
0,L,171,9,-114
0,W,-107,8,-106
0,L,-130,9,102
0,W,-131,8,-103
1,L,122,8.5,-111
1,W,-127,9,-108
1,L,-136,8.5,-102
1,L,-152,8.5,116
0,W,136,7.5,-104
0,L,-102,9,-122
0,W,-138,8,100
0,L,-124,9,-109
0,L,132,8,-110
0,W,166,9,-124
1,L,-113,8.5,110
1,W,-133,8,-115
1,L,-107,8.5,111
1,L,-173,8.5,103
1,W,-143,9,107
1,W,-175,9,-105
0,L,187,9.5,113
0,W,139,9,-109
0,L,210,9.5,-110
0,W,114,9.5,111
0,L,114,9,-110
0,L,131,9,-125
1,W,-145,8,-103
1,W,103,8.5,-113
1,W,-152,8.5,-103
1,L,102,8,-105
1,L,-110,8,104
1,W,103,8,-111
0,L,-103,7.5,-113
0,L,-127,8,-121
0,L,-148,8.5,-103
0,L,110,9.5,-104
0,W,-119,8,-102
0,L,112,8.5,106
0,W,-127,8,-115
1,W,-126,8.5,-110
1,L,129,9.5,-108
1,L,-109,8,-112
1,L,-133,8.5,-123
1,W,-136,9,-111
0,L,128,8,102
0,L,-101,8.5,-123
0,W,-122,8,103
1,W,129,7.5,-115
1,W,123,8,-110
1,W,-137,8.5,-113
1,W,-130,8.5,-117
1,W,118,7.5,-102
1,W,-118,9,104
1,L,-145,9.5,-114
0,L,100,8,-119
0,L,132,7.5,-119
0,L,172,8.5,-105
0,L,112,9,108
0,W,-113,9,105
0,W,-101,8.5,100
1,W,-105,7.5,105
1,L,128,7.5,104
1,W,-122,9,-120
1,L,123,9,-126
1,L,105,9,101
1,W,126,8.5,-116
0,L,127,9,-110
0,W,125,8.5,-107
0,W,163,7.5,104
0,L,179,6.5,-104
0,W,110,7.5,102
0,L,112,7,104
0,W,141,7.5,102
1,L,114,9.5,100
1,L,115,8.5,-108
1,L,117,9,-105
1,L,-140,8.5,118
1,W,118,7.5,-107
1,W,-129,8.5,104
1,W,109,8,101
1,L,130,7.5,-111
1,L,103,7.5,100
0,L,173,7.5,-103
0,L,155,8,-116
0,L,127,9.5,-106
0,W,101,9,-121
0,L,-103,8.5,106
0,L,150,7.5,-129
1,W,130,7.5,102
1,L,-116,8.5,-108
1,L,-150,8.5,-114
1,W,-122,9.5,-107
1,L,-133,9,-120
1,L,-137,9,-106
1,L,138,9.5,-105
1,L,126,8,-120
1,W,157,8,-116
0,L,185,9,103
0,W,230,8.5,-116
0,L,223,9.5,102
0,W,183,9,101
0,W,196,8.5,-105
0,L,175,8.5,100
1,L,136,9.5,-115
1,L,146,9,107
1,W,224,9,104
1,L,160,9,106
1,L,126,9,-102
1,W,142,9,-109
0,L,184,8,-107
0,W,164,9.5,-116
0,W,180,9,-104
1,W,127,10,-109
1,W,117,9.5,-115
1,W,138,8,104
1,W,134,8.5,-101
0,L,224,8.5,104
0,L,228,9,105
0,W,185,8.5,113
0,L,185,9,-110
0,L,200,9.5,-121
0,L,195,9.5,-103
0,W,187,11,-103
1,L,-112,9,101
1,L,108,8.5,102
1,W,117,8,-115
1,W,107,10,-115
1,W,106,8,111
1,W,142,8.5,-101
0,W,159,9.5,-107
0,L,126,9.5,-108
0,L,181,9.5,-102
0,L,139,9.5,-103
0,L,167,10,105
0,L,174,10,106
0,L,-125,8.5,100
0,L,111,9,-105
0,W,111,8,-123
1,L,-110,9,105
1,L,-102,9,-112
1,L,121,8,-116
1,L,175,8,-105
1,W,-118,9,110
1,W,-122,9.5,-108
1,W,183,8.5,-111
1,W,161,9,102
1,L,149,9.5,-102
1,L,139,9,100
0,L,147,9,-105
0,W,145,9,-105
0,W,168,8.5,-104
0,L,173,9.5,-108
0,L,147,9,110
0,W,160,9,-113
0,L,233,9.5,-114
0,W,291,9,-106
0,L,219,9,102
1,L,101,8,-106
1,W,122,9,102
1,L,123,8,-103
1,W,121,9.5,-105
1,L,-104,8.5,105
1,L,102,9,-102
1,L,-139,9,-113
1,L,-135,9,111
0,L,241,8.5,-113
0,L,181,8.5,-110
0,W,-113,9.5,-117
0,W,130,8.5,-123
0,L,110,8.5,-111
0,L,180,8,-112
0,W,-107,9,109
0,W,110,9,108
1,W,105,8.5,-120
1,L,138,8,113
1,L,-133,8.5,-124
1,L,115,8,106
1,L,-107,9,-101
1,L,144,8.5,-103
1,W,-114,10,-110
1,L,106,9,-114
0,L,155,9,105
0,W,142,9,-113
0,L,176,8.5,114
0,L,122,8.5,-101
0,W,153,7.5,-104
0,L,135,7.5,111
0,L,151,8.5,-103
0,L,142,9.5,-101
1,W,-103,7.5,-113
1,W,120,8,-121
1,W,139,8.5,-103
1,W,103,8.5,110
1,L,-109,8.5,-106
1,L,116,8,107
0,L,196,8,105
0,L,113,9.5,-126
0,L,165,8.5,-101
0,W,125,8.5,-123
0,L,128,9,-111
0,W,146,8.5,-106
0,L,146,8.5,-116
0,L,136,8,-106
0,L,113,9,107
0,L,-137,7.5,-115
0,L,-131,8,-110
0,L,129,8.5,-113
1,W,-118,8.5,-114
1,W,-107,8.5,-119
1,W,-160,7.5,-105
1,W,-210,8.5,-106
1,L,-150,9.5,104
1,W,-115,7.5,102
0,W,133,8.5,-105
0,W,-155,8.5,-114
0,W,-101,8,-102
0,L,162,9.5,107
0,L,150,9.5,110
1,W,-220,8.5,-110
1,L,-169,7.5,100
1,W,114,8.5,105
1,W,132,8.5,-102
1,W,-166,8.5,100
1,L,-131,7.5,105
0,L,-123,9,100
0,W,-119,9,-107
0,W,160,8,106
0,W,106,7.5,118
0,L,129,7,106
0,L,157,8.5,-106
0,W,124,9.5,105
0,L,122,7.5,100
0,W,125,7.5,-108
1,L,-185,9,-106
1,W,-167,9,-107
1,W,-162,9.5,-110
1,W,-185,7.5,-103
1,W,-165,8,-116
1,W,-135,9.5,-106
0,L,219,9.5,-107
0,L,162,9.5,-101
0,L,166,7.5,-101
0,W,163,9,109
0,W,127,10,-111
0,W,148,9,-109
0,L,137,9.5,-102
1,W,-106,7.5,-105
1,L,102,8.5,-108
1,L,143,8.5,-125
1,W,-126,9.5,103
1,L,-133,9.5,109
1,L,-121,7,100
1,L,-151,8.5,-106
1,L,-118,9,-103
1,W,-113,9,-110
1,L,-103,8.5,-104
0,L,130,8,-108
0,L,169,8.5,-113
0,W,235,8.5,-110
0,L,220,8,-110
0,L,204,8.5,-107
0,L,135,7.5,-119
0,L,169,8,-103
1,W,-112,9,105
1,L,105,8.5,103
1,L,-105,8.5,-107
1,W,-151,7.5,-104
1,W,101,8.5,-106
1,L,111,9.5,-118
1,L,-114,9.5,-123
0,L,-135,10,-109
0,L,-124,9.5,-115
0,L,-147,8,104
0,L,-142,8.5,-101
1,W,-137,9.5,-121
1,W,-134,7.5,-110
1,W,-226,9,-105
1,W,-180,10,-106
1,W,-184,9,-109
1,L,106,7,-137
1,W,-183,7.5,-104
1,W,-164,8.5,-127
0,L,129,9,-109
0,L,132,9.5,-117
0,W,159,8,-109
0,W,106,7,-116
0,L,106,9,-111
0,L,146,9,-112
0,W,119,8,-118
0,L,105,8.5,100
0,L,-141,7.5,116
1,W,-149,9,-108
1,L,-135,9.5,-108
1,W,-201,9.5,-117
1,W,-185,9,-103
1,W,-215,8,-111
1,W,-173,9.5,111
1,W,-188,9,101
1,W,-175,9,-130
0,L,119,9,104
0,L,110,9.5,102
0,W,-154,8.5,-117
0,L,-136,9,-112
1,W,-185,9.5,-108
1,W,-156,9,110
1,L,-170,9,-113
1,L,-180,8,111
1,W,-127,8.5,101
1,L,-117,9,100
0,L,109,7.5,109
0,L,-114,6.5,-120
0,L,126,8,104
0,L,172,8.5,-101
0,W,100,8,-108
0,W,-114,7,-102
1,L,-144,7.5,-104
1,W,129,9.5,-123
1,W,165,9,102
1,W,113,7.5,-116
1,L,171,9,-108
1,W,129,10,-119
1,W,142,10.5,-105
0,L,-111,8.5,-120
0,W,-147,8,113
0,L,137,10,-126
0,L,125,9.5,109
0,L,125,9,113
1,W,-112,8,-116
1,W,-111,9.5,-109
1,W,103,9,-109
1,W,116,9.5,-108
1,W,-109,8.5,110
1,L,-104,8.5,-111
0,W,122,9.5,-127
0,L,136,9.5,-103
0,W,174,9.5,-123
0,W,-109,8.5,-110
0,W,164,9,-105
0,L,122,9,-108
0,L,168,9.5,-104
0,W,-122,8,110
0,L,-133,7.5,-118
0,L,160,7,-120
1,L,-178,9.5,102
1,W,-115,9.5,102
1,L,-180,8,-123
1,W,-210,8,105
1,W,-120,9.5,-126
1,W,-176,8.5,-101
0,W,111,9,-120
0,L,-124,8.5,-110
0,W,113,7,104
1,L,146,9,-127
1,L,132,9,-108
1,W,136,8.5,100
1,W,118,7.5,111
1,L,-111,8.5,-105
1,W,115,9.5,104
1,W,110,8.5,-111
0,L,122,8.5,-117
0,L,-125,7.5,-102
0,L,111,9,104
0,W,136,9.5,-114
0,L,196,8.5,-106
0,W,141,9.5,104
0,L,108,7.5,102
1,W,-119,9,108
1,L,106,9,105
1,L,-105,8.5,100
1,W,134,8,-106
1,W,-115,7,-110
1,L,104,8.5,-101
0,L,160,9.5,-109
0,W,207,9,111
0,L,205,9,109
0,L,147,7.5,-126
0,L,260,8,-116
0,L,183,8.5,-120
1,W,116,9,100
1,L,112,9,-107
1,L,-170,8,106
1,L,145,9,100
1,W,183,8,-108
1,L,157,9,102
0,W,132,8.5,118
0,L,-125,7.5,-107
0,L,122,8.5,104
0,W,173,9,-106
0,L,157,9,-107
0,L,152,9.5,-110
1,W,100,7.5,-126
1,L,117,9.5,-103
1,W,110,9.5,100
1,L,-107,9,-121
1,W,-103,8.5,106
1,W,-160,7.5,-129
1,W,196,10,-115
1,L,220,9.5,-109
1,W,171,10,107
1,L,224,9,-105
0,L,157,7,-117
0,L,226,8.5,-119
0,L,205,8.5,102
0,L,146,7.5,-110
0,W,111,8,-103
0,L,-148,7,-106
0,L,176,7.5,-113
0,W,161,8,102
0,L,207,7.5,103
1,W,-134,10,-118
1,W,-220,8.5,106
1,W,-128,9.5,-117
1,L,-119,9.5,102
1,L,122,9.5,-101
1,L,139,9,-109
1,L,-107,7.5,110
0,L,269,10,102
0,L,227,10,-111
0,L,262,9,-109
1,W,-152,8,-113
1,L,100,10,102
1,L,-109,9.5,-111
1,L,113,8.5,-123
1,L,-160,7.5,103
0,L,155,9.5,-105
0,L,166,8.5,-103
0,L,141,9,113
0,W,139,8,-106
0,W,-106,7.5,-113
0,W,197,7,111
0,L,170,9,111
0,W,161,9,-116
0,W,141,9.5,-110
1,W,-123,7,106
1,L,116,8.5,-102
1,W,113,9.5,-115
1,W,129,9,-104
1,L,112,9.5,105
1,W,-153,8.5,-103
0,W,223,7.5,-118
0,L,103,9,113
0,L,127,9,-108
0,L,165,9.5,-105
0,L,131,8,119
0,L,193,9,104
1,W,-102,9.5,100
1,L,107,8.5,-115
1,W,-113,9,-106
0,W,-106,8.5,-102
0,L,163,8.5,-112
0,W,145,9,102
0,W,182,9,113
0,L,166,9,-104
0,L,133,8,102
1,L,145,8.5,-117
1,W,128,9,-112
1,L,-116,7.5,114
1,L,-105,9.5,-105
1,W,101,9.5,-108
1,L,102,9,-116
0,L,137,8.5,-120
0,W,175,9.5,103
0,W,185,9.5,-115
1,W,110,9.5,-103
1,L,130,9.5,102
1,L,-143,8,-101
1,L,103,9,100
1,W,110,9.5,102
0,W,131,9,-113
0,W,127,9,111
0,L,-140,7.5,-125
0,W,122,9,-109
1,W,-104,9,-122
1,L,130,8,100
1,W,117,9,-109
1,W,-192,8,-112
1,L,101,9,109
1,L,-117,9,108
0,L,153,9.5,105
0,L,188,9.5,-116
0,L,102,8,-105
0,L,134,9.5,-115
0,L,135,9,107
0,L,164,9,-105
0,L,136,8,-118
0,W,260,9,-101
0,W,242,9.5,-107
0,L,215,8.5,-113
1,L,109,9.5,102
1,L,-196,7.5,-111
1,W,154,7.5,-113
1,W,128,9,101
1,L,100,10,-124
1,L,122,10,-109
0,W,104,7.5,-114
0,L,136,9,102
0,L,107,9.5,109
0,W,171,9.5,114
0,L,171,9.5,-108
0,L,126,7.5,-104
0,W,167,9.5,102
0,L,108,9.5,102
0,W,169,8,-123
1,L,152,9,-107
1,L,101,7,-113
1,W,142,9.5,-107
1,L,-118,9,-120
1,W,117,8.5,-110
1,L,-120,7,104
0,L,166,9,110
1,L,110,9,-108
1,L,136,7.5,105
1,L,-122,8.5,-105
1,W,-109,7.5,-104
1,L,-124,8.5,-107
1,L,-160,8,101
0,W,105,8.5,-105
0,L,-122,9.5,104
0,L,-117,8.5,-111
0,L,111,8.5,-114
0,L,101,8.5,-119
0,L,150,7.5,-105
1,W,-106,8,-119
1,W,-140,7.5,-119
1,W,-183,8.5,-105
1,L,-198,7.5,108
1,W,-128,8,-128
1,L,-107,7.5,-108
0,W,101,8.5,-118
0,W,-105,8.5,-110
0,W,102,8,-110
0,W,-131,9,-126
0,W,-111,9,101
0,L,-134,8.5,-116
1,W,-156,7.5,-126
1,W,-280,8,-116
1,W,-195,8.5,-120
1,W,116,8.5,109
1,W,-104,7.5,102
1,W,104,9.5,-104
1,L,-113,7.5,118
1,W,-137,7,106
1,W,-167,8.5,-106
0,L,-142,8,-113
0,W,-106,8.5,-102
0,W,-115,7,-113
0,W,136,7.5,-111
0,L,141,8.5,102
0,L,138,8.5,-101
0,L,136,10.5,106
1,W,-115,7.5,103
1,L,-187,9.5,104
1,W,-130,8,-123
1,L,-155,8,-117
1,W,-146,7,-127
1,W,-122,7.5,-101
1,W,-151,8.5,-119
1,W,-128,8,104
1,W,-150,8,-101
0,W,112,7.5,110
0,L,159,9.5,-104
0,W,-111,9,-103
0,W,-147,9.5,-105
0,W,-134,8,-120
0,L,-167,8,-116
0,W,140,8.5,-116
0,W,171,8,-101
0,L,148,8,-123
0,L,114,8,-106
1,W,-296,8.5,-103
1,W,-116,7.5,-104
