field,game_result,side_line,line,odds
1,W,-141,9.5,-113
1,W,-153,9,-114
1,W,-146,8.5,-120
1,L,-187,9.5,103
1,L,-198,9.5,-115
0,W,149,8.5,106
0,W,106,8,-105
0,W,125,9,102
0,W,184,8,-103
0,W,110,10.5,-108
0,L,132,9.5,-111
1,W,-118,9.5,-106
0,W,167,8.5,-108
0,L,170,9,104
0,L,-137,9.5,-123
0,L,-176,9,102
1,L,-106,9.5,-110
1,W,-148,10.5,-112
1,W,-190,9.5,101
1,W,-109,9,107
1,L,128,9,107
1,L,-103,9.5,104
1,W,-130,10.5,100
1,W,-162,9.5,100
1,W,-172,9,-108
1,W,-175,10,-103
0,L,-153,9,102
0,L,-154,10,106
0,W,-146,8.5,-103
0,W,-105,8.5,105
0,W,-137,9,-107
1,L,-155,10.5,-109
1,W,-174,8.5,101
1,W,-210,8.5,-101
1,L,-141,9,-117
1,W,-188,9,104
1,W,-130,9.5,109
1,L,-166,8.5,-105
1,L,-136,8.5,-114
1,L,-125,9,100
1,L,-165,9.5,-121
0,L,112,9.5,102
0,L,-127,9,-114
0,W,-162,9,-107
0,W,-107,7,-113
0,L,-151,9.5,-107
1,L,-138,10,-106
1,L,-136,9.5,101
1,W,-118,9,106
0,L,-107,9,-111
1,W,-173,8,109
1,L,-157,9.5,-109
1,L,104,7.5,104
0,W,-133,8.5,106
1,W,-177,9,110
0,W,-117,9,-108
0,W,-144,7.5,105
0,L,112,9.5,111
0,L,102,9.5,-101
0,W,-134,9.5,111
0,L,105,9,-116
0,W,-181,8.5,-105
0,L,-124,9.5,-114
1,W,-183,9.5,-108
1,L,109,9,-105
1,L,-175,9.5,-105
1,L,-136,8,106
1,L,-137,10.5,-121
1,W,-133,9.5,-105
1,W,-119,9.5,-120
0,L,-164,9,-111
0,W,-184,8,110
0,W,-149,9.5,-116
0,L,107,9.5,-115
0,W,123,8.5,-107
0,L,115,7.5,-117
0,L,161,9.5,-112
0,L,-103,10.5,101
0,L,129,9.5,-105
1,W,-243,10,106
1,L,-385,9,-109
1,L,-195,9.5,-119
1,L,-164,9.5,111
1,W,-191,10,-102
1,W,-135,9,-109
1,W,-208,8,-114
1,W,-133,9.5,-119
1,W,-203,9,-105
1,W,-125,9.5,104
0,W,116,9.5,106
0,W,-134,8.5,-104
0,L,-137,10,-110
0,W,-104,10,-101
0,L,120,9,-118
1,W,-315,8.5,-108
1,W,-203,9,-118
1,L,-145,8,105
1,W,-235,9.5,-107
1,W,-173,9.5,-101
1,W,-177,7.5,-101
1,L,-174,9,109
0,L,-210,10,-115
0,W,-236,9.5,-109
0,L,-182,10,107
0,W,-240,9,-105
0,W,160,8,-117
0,L,133,10,-103
1,L,-127,8.5,109
1,W,-207,9,-116
1,W,-182,9.5,-118
1,L,-151,9.5,-105
1,L,-182,9.5,101
